Iteracao,Recompensa
5000,-0.5301608989262464
10000,0.3645623588857614
15000,0.8228950983190951
20000,1.4929675686616042
25000,1.6197295837904875
30000,2.182500516900808
35000,1.2976699731141164
40000,0.8063483007505214
45000,2.5012696972386617
50000,1.746029397485801
55000,3.5724090127178916
60000,3.0967887171449777
65000,1.4661829090723273
70000,6.497414896143272
75000,2.584413422487435
80000,2.11637970453505
85000,4.730738135976134
90000,7.055140670409875
95000,6.981798251427916
100000,5.440201702005634
105000,5.254305008658465
110000,10.201938509691374
115000,9.38587923226279
120000,9.177859022639897
125000,7.9970251075314955
130000,9.94968272360578
135000,9.63148322423179
140000,6.173185157114357
145000,8.793255871831885
150000,9.144248141060693
155000,7.825193288997026
160000,9.94968272360578
165000,8.164498123396227
170000,8.035810777129617
175000,9.94968272360578
180000,10.988995142935588
185000,3.856697090497783
190000,3.7934445092601083
195000,4.648514962088264
200000,4.672840193710051
205000,4.644634027284793
210000,4.652514937967805
215000,4.652514937967805
220000,4.652514937967805
225000,4.420106165176838
230000,4.644634027284793
235000,4.644634027284793
240000,4.644634027284793
245000,4.644634027284793
250000,4.659269193090447
255000,4.659269193090447
260000,4.659269193090447
265000,4.659269193090447
270000,4.659269193090447
275000,4.659269193090447
280000,4.659269193090447
285000,4.659269193090447
290000,4.659269193090447
295000,4.659269193090447
300000,4.659269193090447
