Data,Close,Recompensa,RecompensaAcumulada,Estado,Retorno,RetornoAcumulado
2015-04-13,17.32,-0.0023,5.7541,2.0,0.0012,-0.1319
2015-04-14,16.99,-0.0012,5.5229,2.0,0.0191,-0.1308
2015-04-15,16.99,0.0179,5.4073,2.0,0.0,-0.1117
2015-04-16,16.99,0.0,7.1992,3.0,0.0,-0.1117
2015-04-17,16.85,0.0,7.1992,2.0,0.0082,-0.1117
2015-04-20,16.81,0.0082,7.1992,2.0,0.0024,-0.1034
2015-04-22,16.85,0.0,8.0232,3.0,-0.0024,-0.1011
2015-04-23,16.79,-0.0024,8.0232,2.0,0.0036,-0.1035
2015-04-24,16.81,0.0,7.7852,3.0,0.0,-0.0999
2015-04-27,16.72,0.0,7.7852,3.0,0.0,-0.0999
2015-04-28,16.8,0.0,7.7852,3.0,0.0048,-0.0999
2015-04-29,16.75,0.0048,7.7852,1.0,-0.003,-0.0951
2015-04-30,16.85,0.0,8.2637,3.0,0.0,-0.0981
2015-05-04,17.21,0.0,8.2637,3.0,0.0214,-0.0981
2015-05-05,17.44,0.0214,8.2637,1.0,0.0136,-0.0767
2015-05-06,17.52,0.035,10.4002,1.0,0.0047,-0.0631
2015-05-07,17.43,0.0,13.9017,3.0,0.0051,-0.0583
2015-05-08,17.65,0.0051,13.9017,2.0,-0.0126,-0.0532
2015-05-11,17.63,-0.0074,14.4154,2.0,0.0011,-0.0658
2015-05-12,17.38,-0.0063,13.6734,2.0,0.0143,-0.0646
2015-05-13,17.27,0.008,13.0455,2.0,0.0063,-0.0503
2015-05-14,17.29,0.0,13.8446,3.0,-0.0012,-0.0441
2015-05-15,17.41,-0.0012,13.8446,2.0,-0.0069,-0.0452
2015-05-18,17.22,-0.0081,13.7288,2.0,0.011,-0.0522
2015-05-19,17.13,0.0,12.9182,3.0,0.0052,-0.0412
2015-05-20,16.64,0.0052,12.9182,2.0,0.0285,-0.0359
2015-05-21,16.7,0.0337,13.4408,2.0,-0.0035,-0.0075
2015-05-22,16.7,0.0302,16.809,2.0,0.0,-0.011
2015-05-25,16.75,0.0302,19.8287,2.0,-0.0029,-0.011
2015-05-26,16.49,0.0273,22.8484,2.0,0.0151,-0.0139
2015-05-27,16.43,0.0424,25.5778,2.0,0.0035,0.0012
2015-05-28,16.44,0.0459,29.8171,2.0,-0.0006,0.0047
2015-05-29,16.37,0.0453,34.4048,2.0,0.0041,0.0041
2015-06-01,16.48,0.0494,38.9344,2.0,-0.0064,0.0082
2015-06-02,16.62,0.043,43.8705,2.0,-0.0081,0.0018
2015-06-03,16.45,0.0348,48.1678,2.0,0.0099,-0.0063
2015-06-05,16.68,0.0447,51.6521,2.0,-0.0134,0.0035
2015-06-08,16.57,0.0314,56.1237,2.0,0.0064,-0.0098
2015-06-09,16.51,0.0377,59.2596,2.0,0.0035,-0.0034
2015-06-10,16.81,0.0412,63.0342,2.0,-0.0174,0.0001
2015-06-11,16.77,0.0238,67.1573,2.0,0.0023,-0.0174
2015-06-12,16.7,0.0261,69.5383,2.0,0.0041,-0.015
2015-06-15,16.47,0.0302,72.1515,2.0,0.0134,-0.011
2015-06-16,16.76,0.0436,75.1713,2.0,-0.0168,0.0024
2015-06-17,16.71,0.0267,79.5267,2.0,0.0029,-0.0145
2015-06-18,16.81,0.0296,82.198,2.0,-0.0058,-0.0116
2015-06-19,16.9,0.0238,85.1596,2.0,-0.0052,-0.0174
2015-06-22,16.96,0.0186,87.5406,2.0,-0.0035,-0.0226
2015-06-23,16.97,0.0151,89.3989,2.0,-0.0006,-0.0261
2015-06-24,16.95,0.0145,90.9088,2.0,0.0012,-0.0267
2015-06-25,16.94,0.0157,92.3606,2.0,0.0006,-0.0255
2015-06-26,17.15,0.0163,93.9285,2.0,-0.0122,-0.0249
2015-06-29,16.99,0.0041,95.5545,2.0,0.0093,-0.0371
2015-06-30,17.08,0.0134,95.961,2.0,-0.0052,-0.0278
